Equivalent Radiated Power (ERP)  - Order 1.0
EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 1.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 10.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 18.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 20.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 3.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 4.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 6.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 8.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W), EM Rotor Shaft (rpm), Equivalent Radiated Power (ERP)  - Order 9.0 Equivalent Radiated Power (ERP) (dB re 1.0e-12W)
2920, 60.0158648, 2920, 56.9087062, 2920, 56.3733935, 2920, 53.1216573, 2920, 49.2855714, 2920, 44.9403174, 2920, 48.7873526, 2920, 45.7710662, 2920, 46.7137477
2960, 59.67195, 2960, 57.9937586, 2960, 55.0479058, 2960, 54.8013952, 2960, 49.2368349, 2960, 44.8889515, 2960, 48.7697557, 2960, 45.5432288, 2960, 47.3733958
3000, 59.3037497, 3000, 59.2146046, 3000, 53.5321986, 3000, 57.7072889, 3000, 49.1890031, 3000, 44.8388075, 3000, 48.7139654, 3000, 45.3846326, 3000, 48.0372458
3040, 58.929915, 3040, 60.4599002, 3040, 52.6940046, 3040, 61.3503852, 3040, 49.1420212, 3040, 44.7898527, 3040, 48.6421901, 3040, 45.3541913, 3040, 48.5641554
3080, 58.5628502, 3080, 61.4987996, 3080, 52.4709895, 3080, 63.6612476, 3080, 49.0958387, 3080, 44.7420575, 3080, 48.5712933, 3080, 45.4464969, 3080, 48.8789586
3120, 58.2101251, 3120, 62.0898031, 3120, 52.7478304, 3120, 62.6539475, 3120, 49.0504122, 3120, 44.6953993, 3120, 48.5096856, 3120, 45.6384814, 3120, 49.1045733
3160, 57.8758856, 3160, 62.3269084, 3160, 53.4081004, 3160, 61.6884974, 3160, 49.0057039, 3160, 44.6498555, 3160, 48.4597031, 3160, 45.9140654, 3160, 49.4248881
3200, 57.5620017, 3200, 62.4887817, 3200, 53.8532051, 3200, 62.6808188, 3200, 48.9616787, 3200, 44.6054111, 3200, 48.4205521, 3200, 46.2678039, 3200, 49.9291121
3240, 57.2689, 3240, 62.4361374, 3240, 53.1357366, 3240, 65.3685078, 3240, 48.9183071, 3240, 44.5620548, 3240, 48.3900895, 3240, 46.7013222, 3240, 50.6271549
3280, 56.9961364, 3280, 61.84989, 3280, 53.4442957, 3280, 66.6972369, 3280, 48.8755604, 3280, 44.5197803, 3280, 48.3658979, 3280, 47.2163873, 3280, 51.5003998
3320, 56.7427723, 3320, 60.8257906, 3320, 55.4790897, 3320, 64.762272, 3320, 48.8334159, 3320, 44.478585, 3320, 48.3467076, 3320, 47.8015137, 3320, 52.5155951
3360, 56.5076207, 3360, 59.6730439, 3360, 58.5084787, 3360, 61.8393797, 3360, 48.7918493, 3360, 44.4384739, 3360, 48.3346862, 3360, 48.4090569, 3360, 53.6060895
3400, 56.289396, 3400, 58.5932501, 3400, 61.6062743, 3400, 61.4105107, 3400, 48.7508429, 3400, 44.3994578, 3400, 48.3371741, 3400, 48.9402006, 3400, 54.6347274
3440, 56.0868015, 3440, 57.6719501, 3440, 62.3215926, 3440, 61.8808222, 3440, 48.7103777, 3440, 44.3615547, 3440, 48.3642179, 3440, 49.2957484, 3440, 55.3983255
3480, 55.8985903, 3480, 56.9468653, 3480, 61.3132881, 3480, 60.6826218, 3480, 48.6704372, 3480, 44.3247937, 3480, 48.4219293, 3480, 49.4899743, 3480, 55.7951905
3520, 55.7235878, 3520, 56.4466425, 3520, 61.1307706, 3520, 59.8056654, 3520, 48.6310052, 3520, 44.289215, 3520, 48.5088077, 3520, 49.6559904, 3520, 55.9894078
3560, 55.5607094, 3560, 56.191674, 3560, 62.7248635, 3560, 60.5515218, 3560, 48.5920703, 3560, 44.2548751, 3560, 48.6181531, 3560, 49.920345, 3560, 56.13943
3600, 55.4089623, 3600, 56.1368348, 3600, 65.3763712, 3600, 62.8449206, 3600, 48.5536188, 3600, 44.2218472, 3600, 48.7410384, 3600, 50.338326, 3600, 56.083295
3640, 55.2674477, 3640, 56.0794647, 3640, 66.7659893, 3640, 65.4750702, 3640, 48.5156385, 3640, 44.1902331, 3640, 48.8660917, 3640, 50.9160159, 3640, 55.5902211
3680, 55.1353547, 3680, 55.7877848, 3680, 65.5744768, 3680, 65.0070528, 3680, 48.4781206, 3680, 44.160166, 3680, 48.9780168, 3680, 51.6406467, 3680, 54.7251067
3720, 55.0119544, 3720, 55.3287726, 3720, 62.6544598, 3720, 61.7599664, 3720, 48.4410546, 3720, 44.1318211, 3720, 49.0591815, 3720, 52.4906315, 3720, 53.7204702
3760, 54.896595, 3760, 54.9482624, 3760, 61.0639099, 3760, 58.8693898, 3760, 48.4044309, 3760, 44.1054329, 3760, 49.0962014, 3760, 53.4281973, 3760, 52.7503851
3800, 54.7886965, 3800, 54.8032727, 3800, 61.3706977, 3800, 56.9777765, 3800, 48.3682416, 3800, 44.0813114, 3800, 49.0856322, 3800, 54.3797395, 3800, 51.8988438
3840, 54.6877421, 3840, 54.9606258, 3840, 60.762024, 3840, 56.1041779, 3840, 48.3324807, 3840, 44.059868, 3840, 49.0331748, 3840, 55.2189562, 3840, 51.2015357
3880, 54.5932725, 3880, 55.4605531, 3880, 59.6138487, 3880, 56.2818398, 3880, 48.2971399, 3880, 44.0416431, 3880, 48.9539119, 3880, 55.8050007, 3880, 50.677436
3920, 54.5048837, 3920, 56.3393025, 3920, 59.6033288, 3920, 56.3814569, 3920, 48.262212, 3920, 44.0273502, 3920, 48.875529, 3920, 56.1129433, 3920, 50.3403415
3960, 54.42222, 3960, 57.6215327, 3960, 61.0620146, 3960, 56.2633777, 3960, 48.2276935, 3960, 44.0179128, 3960, 48.8302068, 3960, 56.2844598, 3960, 50.1881991
4000, 54.3449703, 4000, 59.2932443, 4000, 63.1835346, 4000, 57.7063835, 4000, 48.1935775, 4000, 44.0145062, 4000, 48.8380105, 4000, 56.4259749, 4000, 50.1607806
4040, 54.2728641, 4040, 61.2464923, 4040, 65.6301242, 4040, 59.7064112, 4040, 48.1598593, 4040, 44.0185671, 4040, 48.9015095, 4040, 56.430135, 4040, 50.0968607
4080, 54.2056699, 4080, 63.1861473, 4080, 66.0073815, 4080, 59.7109468, 4080, 48.126534, 4080, 44.0317488, 4080, 49.013111, 4080, 56.1106307, 4080, 49.8342877
4120, 54.1431927, 4120, 64.621159, 4120, 63.5516567, 4120, 60.8553636, 4120, 48.0935987, 4120, 44.0557356, 4120, 49.1633603, 4120, 55.4527169, 4120, 49.4198456
4160, 54.085267, 4160, 65.2441922, 4160, 61.0026674, 4160, 62.5531848, 4160, 48.061049, 4160, 44.0918455, 4160, 49.3448667, 4160, 54.605856, 4160, 49.0496096
4200, 54.0317622, 4200, 65.2645552, 4200, 59.0694706, 4200, 63.9073388, 4200, 48.0288806, 4200, 44.1403631, 4200, 49.553049, 4200, 53.7260332, 4200, 48.8661896
4240, 53.982575, 4240, 64.9471318, 4240, 57.8829729, 4240, 63.6699193, 4240, 47.9970932, 4240, 44.1996914, 4240, 49.7856802, 4240, 52.9081815, 4240, 48.9268872
4280, 53.9376316, 4280, 64.237994, 4280, 57.3701946, 4280, 60.9853947, 4280, 47.9656825, 4280, 44.2657348, 4280, 50.0422234, 4280, 52.1984314, 4280, 49.2536215
4320, 53.8968819, 4320, 63.1119094, 4320, 57.4665068, 4320, 59.3026089, 4320, 47.9346464, 4320, 44.3321627, 4320, 50.3232303, 4320, 51.6187216, 4320, 49.8629633
4360, 53.860304, 4360, 61.9422392, 4360, 57.5057367, 4360, 59.2624364, 4360, 47.9039836, 4360, 44.3919639, 4360, 50.6297042, 4360, 51.1821618, 4360, 50.7718612
4400, 53.8278983, 4400, 61.1570806, 4400, 57.7534229, 4400, 60.2739132, 4400, 47.8736936, 4400, 44.4397449, 4400, 50.9621585, 4400, 50.8981995, 4400, 51.9907338
4440, 53.7996862, 4440, 60.8975725, 4440, 58.9446698, 4440, 61.1786133, 4440, 47.843775, 4440, 44.4734245, 4440, 51.3190599, 4440, 50.7665564, 4440, 53.506651
