,EM Rotor Speed (rpm),ad003a,ad004a,ad005a,ad006a,ad007a,ad008a,ad009a,ad010a,ad011a,ad012a,ad013a,ad014a,ad015a,ad016a,ad017a,ad018a,ad019a,ad020a,ad021a,ad022a,ad023a,ad024a,ad025a,ad026a,ad027a,ad028a,ad029a,ad030a,ad031a,ad032a,ad033a,ad034a
40,1560,62.15216046717494,73.49239111720226,64.28809836260288,73.91638792605627,87.94944349913693,87.68707214849428,87.88223690664455,87.65497355398914,91.31910858387442,90.93058692766007,91.19953535357598,90.83912339016841,94.85101310683027,94.07097744105329,94.70484706815617,94.01544836795011,67.55933936967993,73.50479941843702,68.55317760235206,74.31922907563853,87.59402993308122,87.62376337785255,87.50989192772585,87.69996915709197,91.05675158704275,90.91564819553358,90.93690298889429,90.97636573385167,94.64577306567627,94.09473712596008,94.50876081869393,94.04676318053885
41,1600,62.55657418720784,74.63501202632597,64.458042235976,73.76686116031456,88.51610689728567,88.19922461927032,88.42517592789974,88.16560160007997,91.8838554505613,91.44846166311525,91.75727355448427,91.3677557445429,95.40982755395846,94.6027733599656,95.25562213644362,94.54158787020424,67.56355679741434,73.61074600081548,68.23962129266943,74.34875813743746,88.16637458609526,88.13231501661585,88.07185144603572,88.2326645224933,91.62715787931803,91.43709611714297,91.50548744748752,91.38534231219535,95.20948057094459,94.62950543428022,95.06731288116055,94.57634444278845
42,1640,62.67051979284504,73.00186135627803,64.38458530636105,73.9345227767493,89.18628052190047,88.82909273096757,89.07532040514396,88.7830241190241,92.55430963863898,92.09235961627121,92.42389599379806,92.02054412782836,96.07193364958624,95.24666797769244,95.91183512698089,95.18039390387818,67.67167873009049,73.76666764778976,68.20730052172803,74.18801569981594,88.84430012174047,88.77404427354892,88.73744001346964,88.71924670628296,92.30361960632918,92.08574912973751,92.17811226392863,92.03006469359762,95.87537713436326,95.27755290310269,95.72889808993231,95.2215319084076
43,1680,62.76472282139312,71.78458525364816,64.75723081372632,73.7539388487253,89.95820106962526,89.57848741465277,89.8364251860254,89.52744114305405,93.32663983483349,92.85205869513213,93.18986155086645,92.78455109209274,96.83654835158804,96.00333555694212,96.67226661825393,95.94195015693741,67.96442731563424,73.28509097571481,68.73635005637153,74.18094236675506,89.62467621958058,89.5504763547949,89.49963725559414,89.45092282327137,93.08215240581555,92.85091772394875,92.94982953373935,92.80338737294841,96.64315490490202,96.03785056065986,96.49218281568363,95.98919791636654
44,1720,63.36440590707713,72.13822879924031,66.16643110000263,73.12263258949572,90.8231003994625,90.42158254423177,90.70051068985788,90.37448821643095,94.19130042227474,93.70773655751977,94.04495398466345,93.64204616316748,97.69549198296168,96.86259818029696,97.5280691372202,96.79585278851924,68.54257596682898,73.27383205589837,69.59454080501432,74.5440815056498,90.49941618904393,90.38072857540644,90.35889442867173,90.30471200147849,93.953547213923,93.71043673185042,93.81409041735236,93.66758911297337,97.50612015682036,96.90013402267004,97.35105586019218,96.84842687705596
45,1760,63.74170476471117,74.09512119242056,66.94973942191659,73.88458302780275,91.7578348424409,91.29140498558881,91.62616495224653,91.25260791358967,95.12568417719905,94.61054471975943,94.97044941499192,94.54587748517277,98.62540922274411,97.78897726682501,98.45438062713853,97.72277413829796,69.22337376458484,74.31943263064694,70.01515221796308,74.90704320747787,91.43861306450574,91.26086355614217,91.29057497685557,91.19764996346355,94.89290531454124,94.61877907068472,94.74726279500683,94.56537317948211,98.44008917277671,97.83141098558994,98.28154161782055,97.77977614309765
46,1800,63.944308311351804,74.8263807953134,67.26882032718594,75.24772180946384,92.71851195032276,92.19041333835062,92.57766388449613,92.14896034121396,96.08690127911517,95.53622850481537,95.92515712035888,95.46807200233988,99.58216029222953,98.74365685821704,99.40793583772633,98.67672825522104,70.00511446070126,75.54907387162646,70.58032753109492,76.18378458622428,92.40117710185902,92.13890755393756,92.25236427784057,92.08006816713751,95.85818583728893,95.54997887931938,95.70684692655577,95.49362158506713,99.40074741978165,98.79057811427236,99.23954585653328,98.73751675276529
47,1840,63.4534474366214,75.2285029152192,66.42534737693701,75.97700112959555,93.63074721057816,93.01994205430648,93.47689587344365,92.96329588549247,96.99890208586062,96.41872163238801,96.83432354789707,96.35036836907189,100.49155799602937,99.64445948684558,100.31430364965188,99.57991809832848,70.44664001885846,76.52132238674821,71.18254580030437,75.98006903468827,93.31449655723449,92.9657782199792,93.15790031429401,92.90068230070644,96.77430788640784,96.43541885834705,96.61876973351377,96.37929631443797,100.31209288915848,99.6962264689709,100.1483442091481,99.64473414620119
48,1880,62.889042155880325,73.95333301099352,65.28608463438988,76.03474966873853,94.39326843967007,93.74712081699265,94.22644889758314,93.69171222163038,97.76006952938761,97.15938496345717,97.59380549049152,97.09066606893313,101.25220649213529,100.39874162041198,101.07267178462803,100.33623105457467,70.74297791686973,76.55599238955575,71.79524024420387,76.4775324121164,94.07766074836553,93.70106599988102,93.90825876429902,93.62952018106353,97.53848683133552,97.17744812404436,97.38150855810122,97.12374760810931,101.07333216103662,100.4538987510523,100.90786932134995,100.40322887542598
49,1920,62.68922946945844,75.0158551004865,65.53531580724398,76.6165979523661,94.90053534552106,94.21719210943877,94.72864008521051,94.1632189835159,98.2663359501786,97.65156167027364,98.09882038212805,97.58205648646923,101.7584798972546,100.90365376177759,101.57814952698902,100.83947414295359,71.08053710024927,77.06401407965133,72.20767375192479,77.4861621180869,94.58568168322981,94.18115819628702,94.41036337377413,94.09944016653583,98.04615076138393,97.66944416151046,97.88819945096202,97.61278027624084,101.5800125431696,100.96207637090416,101.41364590279335,100.90731878334203
